lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,rate,executors,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.25,6,0.030557996366666666,12.051861744666667,16.0,22220.0,824.0,4452.8125,0.005165274756123237
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.25,6,0.040415606533333336,10.604285653166666,16.0,24190.0,564.0,4477.0625,0.0051372970558262255
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.5,6,0.031778520883333335,20.362399940133333,16.0,38740.0,1314.0,8887.4375,0.004943775975921068
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.5,6,0.054513818266666667,21.511556833266667,16.0,44973.0,1604.0,8885.1875,0.005099779830194917
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.5,6,0.038212409366666665,22.67295416056667,16.0,45389.0,1655.0,8884.375,0.004832922968695041
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.5,6,0.0383322626,19.7809534419,16.0,36969.0,2336.0,8882.75,0.004925276519096001
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.5,6,0.037291365416666666,20.89362242645,16.0,44420.0,1211.0,8909.9375,0.0050715843966357785
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.75,6,0.0384882735,29.5749969841,16.0,57326.0,3940.0,13341.625,0.00487197024350482
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.75,6,0.04245615018333333,27.817978887066666,16.0,63924.0,2743.0,13335.5,0.005075737692624948
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.75,6,0.04353939253333333,30.48510832935,16.0,68230.0,1383.0,13335.1875,0.0049118169504553276
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.75,6,0.043446719833333335,31.1314503801,16.0,61792.0,2146.0,13352.875,0.0049193525738839014
hyperplanes,0.1,4,1,true,4,1000,6,drop3,0.75,6,0.0379179787,29.1854968576,16.0,65129.0,2432.0,13328.5,0.004618861837416064
hyperplanes,0.1,4,1,true,4,1000,6,drop3,1.0,6,0.057944225466666666,34.7323688505,16.0,81004.0,2153.0,17800.4375,0.004813786178008265
hyperplanes,0.1,4,1,true,4,1000,6,drop3,1.0,6,0.05657014703333333,40.983280868133335,16.0,91555.0,2488.0,17800.4375,0.004985832511139122
